hostname,n_planets,avg_pl_rade,first_disc_year,last_disc_year
KOI-351,8,3.9,2013,2017
TRAPPIST-1,7,0.979,2016,2017
HD 10180,6,6.677,2010,2010
HD 110067,6,2.431,2023,2023
HD 191939,6,6.59,2020,2022
HD 219134,6,3.669,2015,2015
HD 34445,6,8.855,2009,2017
HIP 41378,6,4.254,2016,2025
K2-138,6,2.584,2017,2021
Kepler-11,6,2.967,2010,2010
Kepler-20,6,2.293,2011,2016
Kepler-80,6,1.813,2012,2017
TOI-1136,6,3.052,2022,2022
TOI-178,6,2.218,2021,2021
55 Cnc,5,8.975,1996,2007
GJ 667 C,5,1.782,2012,2013
HD 108236,5,2.265,2020,2021
HD 134606,5,3.5,2024,2024
HD 158259,5,2.076,2020,2020
HD 23472,5,1.315,2019,2022
HD 40307,5,2.345,2009,2013
K2-268,5,1.848,2018,2021
K2-384,5,1.445,2022,2022
Kepler-102,5,1.042,2013,2014
Kepler-122,5,2.952,2014,2014
Kepler-139,5,5.677,2014,2025
Kepler-150,5,2.898,2014,2017
Kepler-154,5,2.41,2014,2016
Kepler-169,5,1.674,2014,2014
Kepler-186,5,1.232,2014,2014
Kepler-238,5,2.958,2013,2014
Kepler-292,5,2.008,2014,2014
Kepler-296,5,1.806,2014,2014
Kepler-32,5,1.844,2011,2012
Kepler-33,5,3.754,2011,2011
Kepler-444,5,0.543,2015,2015
Kepler-48,5,6.766,2012,2023
Kepler-55,5,1.874,2012,2014
Kepler-62,5,1.364,2013,2013
Kepler-82,5,3.698,2012,2019
Kepler-84,5,2.154,2012,2014
L 98-59,5,1.353,2019,2025
AU Mic,4,3.092,2020,2025
Barnard's star,4,0.699,2024,2025
DMPP-1,4,2.965,2019,2019
GJ 3293,4,3.59,2015,2017
GJ 676 A,4,7.338,2010,2016
GJ 876,4,8.433,1998,2010
HD 141399,4,13.925,2014,2014
HD 160691,4,3.17,2000,2006
HD 164922,4,5.505,2005,2021
HD 20781,4,2.615,2019,2019
HD 20794,4,1.95,2011,2025
HD 215152,4,,2018,2018
HD 3167,4,2.355,2016,2022
HR 8799,4,13.029,2008,2010
K2-133,4,1.669,2017,2019
K2-187,4,1.725,2018,2018
K2-266,4,2.416,2018,2018
K2-285,4,2.638,2018,2018
K2-32,4,3.282,2016,2019
K2-72,4,1.135,2016,2016
KOI-94,4,5.965,2013,2013
Kepler-100,4,2.605,2014,2023
Kepler-106,4,1.708,2014,2014
Kepler-107,4,1.724,2014,2014
Kepler-132,4,1.305,2014,2016
Kepler-138,4,1.114,2014,2022
Kepler-1388,4,2.543,2016,2016
Kepler-1542,4,0.76,2016,2016
Kepler-164,4,2.708,2014,2023
Kepler-167,4,3.698,2014,2016
Kepler-172,4,2.555,2014,2014
Kepler-176,4,1.998,2014,2016
Kepler-197,4,1.095,2014,2014
Kepler-1987,4,1.785,2023,2023
Kepler-208,4,1.425,2014,2014
Kepler-215,4,1.883,2014,2014
Kepler-220,4,1.173,2014,2014
Kepler-221,4,2.5,2014,2014
Kepler-223,4,4.068,2014,2014
Kepler-224,4,2.195,2014,2014
Kepler-235,4,1.945,2014,2014
Kepler-24,4,2.328,2011,2014
Kepler-245,4,2.383,2014,2016
Kepler-251,4,2.41,2014,2014
Kepler-256,4,2.143,2014,2014
Kepler-26,4,2.245,2011,2014
Kepler-265,4,2.393,2014,2014
Kepler-279,4,3.787,2013,2025
Kepler-282,4,1.943,2013,2014
Kepler-286,4,1.428,2014,2014
Kepler-289,4,4.923,2014,2025
Kepler-299,4,1.925,2014,2014
Kepler-304,4,2.245,2014,2016
Kepler-305,4,2.863,2013,2020
Kepler-306,4,2.153,2014,2014
Kepler-324,4,1.865,2014,2021
Kepler-338,4,2.335,2014,2014
Kepler-341,4,1.68,2014,2014
Kepler-342,4,1.895,2014,2016
Kepler-37,4,0.866,2013,2014
Kepler-402,4,1.405,2014,2014
Kepler-411,4,3.355,2013,2018
Kepler-49,4,2.046,2012,2014
Kepler-51,4,6.995,2012,2024
Kepler-58,4,2.548,2012,2023
Kepler-65,4,4.855,2012,2019
Kepler-68,4,7.109,2013,2023
Kepler-758,4,1.955,2016,2016
Kepler-79,4,4.46,2012,2014
Kepler-85,4,1.556,2012,2014
TOI-1203,4,3.487,2025,2025
TOI-1246,4,3.102,2022,2022
TOI-2076,4,2.718,2021,2025
TOI-4010,4,7.108,2023,2023
TOI-500,4,3.399,2022,2022
