disc_era,hostname_canon,n_planets,avg_pl_rade,avg_pl_bmasse
2010s,koi-351,8,3.9,31.149
2010s,trappist-1,7,0.979,0.921
2010s,hd 10180,6,6.677,1587.701
2010s,hd 219134,6,3.669,25.24
2010s,kepler-11,6,2.967,7.85
2010s,kepler-20,6,2.293,9.387
2010s,kepler-80,6,1.813,747.391
2010s,gj 667 c,5,1.782,3.896
2010s,hd 34445,5,7.846,51.9
2010s,hip 41378,5,4.596,7.978
2010s,k2-138,5,2.499,6.386
2010s,kepler-102,5,1.042,2.96
2010s,kepler-122,5,2.952,20.852
2010s,kepler-150,5,2.898,9.262
2010s,kepler-154,5,2.41,6.912
2010s,kepler-169,5,1.674,3.638
2010s,kepler-186,5,1.232,1.948
2010s,kepler-238,5,2.958,732.768
2010s,kepler-292,5,2.008,4.878
2010s,kepler-296,5,1.806,3.95
2010s,kepler-32,5,1.844,495.024
2010s,kepler-33,5,3.754,4.63
2010s,kepler-444,5,0.543,0.15
2010s,kepler-55,5,1.874,24.424
2010s,kepler-62,5,1.364,19.6
2010s,kepler-82,5,3.698,237.214
2010s,kepler-84,5,2.154,15.086
2010s,dmpp-1,4,2.965,10.338
2010s,gj 3293,4,3.59,13.878
2010s,gj 676 a,4,7.338,1534.873
2010s,hd 141399,4,13.925,287.716
2010s,hd 20781,4,2.615,7.975
2010s,hd 215152,4,,695.011
2010s,k2-133,4,1.669,3.468
2010s,k2-187,4,1.725,3.758
2010s,k2-266,4,2.416,8.689
2010s,k2-285,4,2.638,10.64
2010s,k2-32,4,3.282,7.975
2010s,k2-72,4,1.135,1.537
2010s,kepler-106,4,1.708,8.753
2010s,kepler-107,4,1.724,8.9
2010s,kepler-132,4,1.305,2.22
2010s,kepler-1388,4,2.543,7.03
2010s,kepler-1542,4,0.76,0.381
2010s,kepler-167,4,3.698,82.527
2010s,kepler-172,4,2.555,7.103
2010s,kepler-176,4,1.997,73.527
2010s,kepler-197,4,1.095,2.253
2010s,kepler-208,4,1.425,2.615
2010s,kepler-215,4,1.883,8.588
2010s,kepler-220,4,1.172,1.695
2010s,kepler-221,4,2.5,6.683
2010s,kepler-223,4,4.068,6.325
2010s,kepler-224,4,2.195,5.715
2010s,kepler-235,4,1.945,4.55
2010s,kepler-24,4,2.328,85.325
2010s,kepler-245,4,2.383,500.36
2010s,kepler-251,4,2.41,6.657
2010s,kepler-256,4,2.143,5.313
2010s,kepler-26,4,2.245,4.738
2010s,kepler-265,4,2.393,6.378
2010s,kepler-282,4,1.943,30.02
2010s,kepler-286,4,1.428,2.658
2010s,kepler-299,4,1.925,4.523
2010s,kepler-304,4,2.245,5.943
2010s,kepler-306,4,2.153,5.368
2010s,kepler-338,4,2.335,13.613
2010s,kepler-341,4,1.68,3.498
2010s,kepler-342,4,1.895,4.391
2010s,kepler-37,4,0.866,3.048
2010s,kepler-402,4,1.405,2.56
2010s,kepler-411,4,3.355,19.5
2010s,kepler-48,4,5.008,170.87
2010s,kepler-49,4,2.046,63.793
2010s,kepler-65,4,4.855,67.985
2010s,kepler-758,4,1.955,4.578
2010s,kepler-79,4,4.46,6.725
2010s,kepler-85,4,1.557,3.322
2010s,koi-94,4,5.965,41.775
2010s,tau cet,4,1.498,2.86
2010s,v1298 tau,4,8.061,174.806
2010s,wasp-47,4,6.113,211.375
2010s,gj 163,3,3.89,15.6
2010s,gj 3138,3,2.097,5.487
2010s,gj 357,3,1.733,3.78
2010s,gj 9827,3,1.517,3.053
2010s,hd 136352,3,2.381,8.26
2010s,hd 20794,3,1.84,4.09
2010s,hd 31527,3,3.51,12.15
2010s,hd 3167,3,2.197,6.81
2010s,hip 57274,3,14.2,1218.949
2010s,hr 858,3,1.995,4.817
2010s,k2-136,3,1.86,8.467
2010s,k2-148,3,1.567,3.1
2010s,k2-155,3,2.1,5.143
