disc_era,discoverymethod_canon,n_planets,avg_pl_rade,avg_pl_bmasse
2010s,transit,3064,3.924,90.164
2010s,radial_velocity,456,9.695,936.169
2010s,microlensing,80,10.633,829.13
2010s,imaging,37,15.765,4453.137
2010s,transit_timing_variations,21,5.553,517.456
2010s,eclipse_timing_variations,13,12.8,2391.747
2010s,orbital_brightness_modulation,6,5.623,213.311
2010s,pulsar_timing,3,7.56,212.471
2010s,astrometry,1,11.9,9057.77
2010s,disk_kinematics,1,13.3,794.575
2010s,pulsation_timing_variations,1,12.4,3750.394
2020s,transit,1362,4.968,174.262
2020s,radial_velocity,389,8.009,1101.031
2020s,microlensing,175,9.599,816.345
2020s,imaging,37,15.227,4621.844
2020s,transit_timing_variations,18,7.655,443.563
2020s,astrometry,5,12.56,3796.778
2020s,eclipse_timing_variations,3,13.3,885.894
2020s,orbital_brightness_modulation,3,13.667,487.337
2020s,pulsar_timing,1,,785.036
