disc_era,hostname_canon,n_planets,avg_pl_rade,avg_pl_bmasse
2010s,koi-351,8,3.9,31.149
2010s,trappist-1,7,0.979,0.921
2010s,hd 10180,6,6.677,1587.701
2010s,hd 219134,6,3.669,25.24
2010s,kepler-11,6,2.967,7.85
2010s,kepler-20,6,2.293,9.387
2010s,kepler-80,6,1.813,747.391
2010s,gj 667 c,5,1.782,3.896
2010s,hd 34445,5,7.846,51.9
2010s,hip 41378,5,4.596,7.978
2010s,k2-138,5,2.499,6.386
2010s,kepler-102,5,1.042,2.96
2010s,kepler-122,5,2.952,20.852
2010s,kepler-150,5,2.898,9.262
2010s,kepler-154,5,2.41,6.912
2010s,kepler-169,5,1.674,3.638
2010s,kepler-186,5,1.232,1.948
2010s,kepler-238,5,2.958,732.768
2010s,kepler-292,5,2.008,4.878
2010s,kepler-296,5,1.806,3.95
