pl_name,hostname,discoverymethod,disc_year,sy_snum,sy_pnum,sy_dist,ra,dec,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass
"Kepler-1167 b","Kepler-1167","Transit",2016,1,1,820.90500000,298.3026595,47.6939654,1.00393373900,1.71000000,3.57000000,1419.00,4971.00,0.750000,0.790000
"Kepler-1740 b","Kepler-1740","Transit",2021,1,1,1061.77000000,293.8736630,38.9224548,8.17240047500,3.32321414,11.00000000,858.00,5705.00,0.905000,0.943000
"Kepler-1581 b","Kepler-1581","Transit",2016,1,1,493.17500000,287.3713199,39.6036225,6.28385491000,0.80000000,0.43700000,1108.00,6022.00,1.230000,1.120000
"Kepler-644 b","Kepler-644","Transit",2016,1,1,1318.05000000,295.4757022,43.4931119,3.17391710300,3.15000000,10.10000000,1655.00,6747.00,1.810000,1.490000
"Kepler-1752 b","Kepler-1752","Transit",2021,1,1,962.88800000,290.8541401,51.2227435,56.35850143000,4.54060463,18.70000000,419.00,5446.00,0.821000,0.824000
"Kepler-280 c","Kepler-280","Transit",2014,1,2,780.36100000,291.3905325,42.1804735,4.80709100000,2.01000000,4.70000000,1088.00,5744.00,0.886000,0.962000
"Kepler-1208 b","Kepler-1208","Transit",2016,1,1,825.17600000,291.8812445,44.5557587,11.08507637000,2.32000000,5.99000000,665.00,5001.00,0.760000,0.800000
"Kepler-263 c","Kepler-263","Transit",2014,1,2,754.74700000,292.4698022,37.5677941,47.33277300000,2.47000000,6.66000000,386.00,5265.00,0.785000,0.793000
"Kepler-1101 b","Kepler-1101","Transit",2016,1,1,742.47300000,294.5693544,45.6711623,81.31510590000,2.47000000,6.66000000,393.00,5614.00,0.910000,0.940000
"HD 168746 b","HD 168746","Radial Velocity",2002,1,1,41.56810000,275.4573269,-11.9229757,6.40400000000,11.10000000,85.81410000,900.00,5570.00,1.090000,1.070000
"K2-19 b","K2-19","Transit",2015,1,3,289.82700000,174.9602543,0.6035960,7.92220000000,7.00000000,32.40000000,779.00,5322.00,0.820000,0.880000
"Kepler-560 b","Kepler-560","Transit",2016,2,1,109.30800000,300.2066441,45.0182402,18.47764449000,1.72000000,3.61000000,298.00,3556.00,0.330000,0.340000
"Kepler-150 d","Kepler-150","Transit",2014,1,5,891.09200000,288.2341025,40.5208970,12.56093000000,2.79000000,8.20000000,734.00,5560.00,0.939000,0.956000
"Kepler-498 b","Kepler-498","Transit",2016,1,1,938.84400000,290.3581592,44.5187225,9.61375356000,3.03000000,9.43000000,931.00,5744.00,0.960000,0.980000
"Kepler-817 b","Kepler-817","Transit",2016,1,1,1484.46000000,296.0818498,39.1616140,3.99010622900,9.03000000,60.20000000,1124.00,5861.00,1.030000,1.030000
"Kepler-937 b","Kepler-937","Transit",2016,1,2,1571.46000000,294.1688142,46.7146161,67.66882700000,3.72000000,13.40000000,495.00,6095.00,1.220000,1.150000
"K2-10 b","K2-10","Transit",2015,1,1,272.36000000,172.1216476,1.6906217,19.30553000000,3.77300000,25.20000000,649.00,5533.00,0.956000,0.880000
"Kepler-571 b","Kepler-571","Transit",2016,1,1,723.87500000,286.5510448,49.4187310,4.79859938800,2.64000000,7.46000000,978.00,5527.00,0.900000,0.930000
